AUD,CZK,16.20863,2019-04-16
CZK,AUD,0.0617,2019-04-16
GBP,CZK,29.70001,2019-04-16
CZK,GBP,0.03367,2019-04-16
BGN,CZK,13.1101,2019-04-16
CZK,BGN,0.07628,2019-04-16
DKK,CZK,3.43653,2019-04-16
CZK,DKK,0.29099,2019-04-16
EUR,CZK,25.6415,2019-04-16
CZK,EUR,0.039,2019-04-16
HKD,CZK,2.89247,2019-04-16
CZK,HKD,0.34573,2019-04-16
HRK,CZK,3.44806,2019-04-16
CZK,HRK,0.29002,2019-04-16
JPY,CZK,0.2026,2019-04-16
CZK,JPY,4.93575,2019-04-16
ZAR,CZK,1.61431,2019-04-16
CZK,ZAR,0.61946,2019-04-16
CAD,CZK,16.93986,2019-04-16
CZK,CAD,0.05903,2019-04-16
HUF,CZK,0.08009,2019-04-16
CZK,HUF,12.48523,2019-04-16
NOK,CZK,2.67036,2019-04-16
CZK,NOK,0.37448,2019-04-16
NZD,CZK,15.32594,2019-04-16
CZK,NZD,0.06525,2019-04-16
PLN,CZK,5.9985,2019-04-16
CZK,PLN,0.16671,2019-04-16
RON,CZK,5.38693,2019-04-16
CZK,RON,0.18563,2019-04-16
RUB,CZK,0.35265,2019-04-16
CZK,RUB,2.83564,2019-04-16
SEK,CZK,2.44706,2019-04-16
CZK,SEK,0.40865,2019-04-16
CHF,CZK,22.59163,2019-04-16
CZK,CHF,0.04426,2019-04-16
TND,CZK,7.57211,2019-04-16
CZK,TND,0.13206,2019-04-16
TRY,CZK,3.90433,2019-04-16
CZK,TRY,0.25613,2019-04-16
USD,CZK,22.67734,2019-04-16
CZK,USD,0.0441,2019-04-16
CNY,CZK,3.37977,2019-04-16
CZK,CNY,0.29588,2019-04-16
USD,EUR,0.8844,2019-04-16
EUR,USD,1.13075,2019-04-16
PLN,EUR,0.23394,2019-04-16
EUR,PLN,4.27465,2019-04-16
HRK,EUR,0.13447,2019-04-16
EUR,HRK,7.43649,2019-04-16
HUF,EUR,0.00312,2019-04-16
EUR,HUF,320.14,2019-04-16
BGN,EUR,0.51128,2019-04-16
EUR,BGN,1.95586,2019-04-16
GBP,EUR,1.15828,2019-04-16
EUR,GBP,0.86335,2019-04-16
CHF,EUR,0.88106,2019-04-16
EUR,CHF,1.135,2019-04-16
AUD,EUR,0.6321,2019-04-16
EUR,AUD,1.58202,2019-04-16
CAD,EUR,0.66064,2019-04-16
EUR,CAD,1.51368,2019-04-16
RUB,EUR,0.01375,2019-04-16
EUR,RUB,72.71005,2019-04-16
JPY,EUR,0.0079,2019-04-16
EUR,JPY,126.56,2019-04-16
NOK,EUR,0.10414,2019-04-16
EUR,NOK,9.60225,2019-04-16
DKK,EUR,0.13402,2019-04-16
EUR,DKK,7.46145,2019-04-16
SEK,EUR,0.09543,2019-04-16
EUR,SEK,10.4785,2019-04-16
RON,EUR,0.21009,2019-04-16
EUR,RON,4.75995,2019-04-16
CNY,EUR,0.13181,2019-04-16
EUR,CNY,7.58677,2019-04-16
HKD,EUR,0.1128,2019-04-16
EUR,HKD,8.86491,2019-04-16
TRY,EUR,0.15227,2019-04-16
EUR,TRY,6.56745,2019-04-16
ZAR,EUR,0.06296,2019-04-16
EUR,ZAR,15.88387,2019-04-16
USD,HUF,283.132,2019-04-16
HUF,USD,0.00353,2019-04-16
GBP,HUF,370.811,2019-04-16
HUF,GBP,0.0027,2019-04-16
AUD,HUF,202.368,2019-04-16
HUF,AUD,0.00494,2019-04-16
BGN,HUF,163.688,2019-04-16
HUF,BGN,0.00611,2019-04-16
CAD,HUF,211.498,2019-04-16
HUF,CAD,0.00473,2019-04-16
CHF,HUF,282.062,2019-04-16
HUF,CHF,0.00355,2019-04-16
CNY,HUF,42.19865,2019-04-16
HUF,CNY,0.0237,2019-04-16
DKK,HUF,42.90587,2019-04-16
HUF,DKK,0.02331,2019-04-16
HRK,HUF,43.0514,2019-04-16
HUF,HRK,0.02323,2019-04-16
JPY,HUF,2.52955,2019-04-16
HUF,JPY,0.39533,2019-04-16
MXN,HUF,14.99345,2019-04-16
HUF,MXN,0.0667,2019-04-16
NOK,HUF,33.3401,2019-04-16
HUF,NOK,0.02999,2019-04-16
PLN,HUF,74.89268,2019-04-16
HUF,PLN,0.01335,2019-04-16
RON,HUF,67.25701,2019-04-16
HUF,RON,0.01487,2019-04-16
RSD,HUF,2.71316,2019-04-16
HUF,RSD,0.36857,2019-04-16
RUB,HUF,4.40312,2019-04-16
HUF,RUB,0.22711,2019-04-16
SEK,HUF,30.55208,2019-04-16
HUF,SEK,0.03273,2019-04-16
TRY,HUF,48.74817,2019-04-16
HUF,TRY,0.02051,2019-04-16
UAH,HUF,10.59786,2019-04-16
HUF,UAH,0.09436,2019-04-16
ZAR,HUF,20.15575,2019-04-16
HUF,ZAR,0.04961,2019-04-16
AUD,CZK,16.34581,2019-04-17
CZK,AUD,0.06118,2019-04-17
GBP,CZK,29.64721,2019-04-17
CZK,GBP,0.03373,2019-04-17
BGN,CZK,13.12554,2019-04-17
CZK,BGN,0.07619,2019-04-17
DKK,CZK,3.43889,2019-04-17
CZK,DKK,0.29079,2019-04-17
EUR,CZK,25.673,2019-04-17
CZK,EUR,0.03895,2019-04-17
HKD,CZK,2.89351,2019-04-17
CZK,HKD,0.3456,2019-04-17
HRK,CZK,3.44802,2019-04-17
CZK,HRK,0.29002,2019-04-17
JPY,CZK,0.20266,2019-04-17
CZK,JPY,4.93437,2019-04-17
ZAR,CZK,1.62372,2019-04-17
CZK,ZAR,0.61587,2019-04-17
CAD,CZK,17.02961,2019-04-17
CZK,CAD,0.05872,2019-04-17
HUF,CZK,0.08032,2019-04-17
CZK,HUF,12.45043,2019-04-17
NOK,CZK,2.68011,2019-04-17
CZK,NOK,0.37312,2019-04-17
NZD,CZK,15.31256,2019-04-17
